from,to,distance
熊本県,三重県,575.0156811289767
広島県,長野県,575.1787651663524
滋賀県,宮城県,575.2364250311824
岡山県,栃木県,577.78708262134
愛知県,秋田県,578.0395033750899
鹿児島県,大阪府,578.0933927281176
東京都,青森県,578.2632538605037
静岡県,岩手県,579.7261184634231
岡山県,新潟県,581.1156249457656
京都府,宮城県,581.8625812708243
愛媛県,長野県,582.4400377617583
千葉県,青森県,582.8976045046705
兵庫県,福島県,583.2836374955607
香川県,栃木県,583.8804898583809
徳島県,新潟県,585.7759706255437
大阪府,山形県,586.162801920397
大分県,石川県,589.9355923162913
山口県,富山県,589.9818718770359
石川県,青森県,590.334856654779
徳島県,茨城県,591.5819136793336
長崎県,奈良県,592.1062891223398
福井県,岩手県,592.1903299070832
高知県,群馬県,593.9479407338932
福島県,北海道,595.5688308588165
佐賀県,三重県,595.5994156878464
福岡県,福井県,595.9570090329975
島根県,神奈川県,596.9322698302278
島根県,新潟県,597.0558780771498
香川県,新潟県,597.297609560262
島根県,埼玉県,597.5104681310113
高知県,神奈川県,597.93693200919
長崎県,京都府,599.215484798876
島根県,東京都,600.9560240939019
奈良県,宮城県,601.3056477756376
鹿児島県,奈良県,601.5394075970937
山梨県,青森県,604.2977511288249
神奈川県,青森県,605.499331410203
新潟県,北海道,606.6144379953511
長崎県,滋賀県,607.9382203194214
兵庫県,山形県,608.3658895685393
鳥取県,福島県,609.27061093141
福岡県,岐阜県,610.7080969030861
高知県,東京都,611.270731254943
高知県,埼玉県,614.6372680913761
和歌山県,福島県,617.0167486774359
鹿児島県,京都府,617.4828814802269
岡山県,茨城県,618.1920775410442
岐阜県,岩手県,618.2805550316235
福岡県,愛知県,620.4165483332771
熊本県,福井県,620.5498988085455
香川県,茨城県,621.813152126238
熊本県,岐阜県,621.9042235616112
大阪府,宮城県,622.4263370609613
鳥取県,山形県,623.8725897450831
宮崎県,岐阜県,624.5216521534297
宮崎県,愛知県,624.5823577937467
鹿児島県,滋賀県,624.5909097487909
佐賀県,福井県,625.5445145627386
島根県,栃木県,626.3129970257329
愛知県,岩手県,627.1086930367387
熊本県,愛知県,627.3376470823638
佐賀県,岐阜県,635.9811488274921
広島県,群馬県,637.9942422563497
大分県,富山県,638.600393129819
愛媛県,群馬県,638.6903018405213
山口県,静岡県,638.7085658092897
三重県,秋田県,639.3257805477131
宮崎県,福井県,639.3944669273093
島根県,千葉県,639.992777699408
滋賀県,秋田県,643.875036331946
佐賀県,愛知県,644.2446914091397
高知県,千葉県,644.7519263325216
和歌山県,山形県,645.1006286241357
兵庫県,宮城県,645.4872841792952
京都府,秋田県,648.1639426796082
長崎県,三重県,652.2195765890676
大分県,静岡県,652.4883606779016
愛媛県,神奈川県,653.742782536446
福岡県,石川県,654.9964524625369
鹿児島県,三重県,656.4402527005519
沖縄県,鹿児島県,657.2271228128924
福井県,青森県,659.2267753742613
愛媛県,東京都,664.9671457814459
鳥取県,宮城県,665.0519644046799
広島県,神奈川県,665.0883422989803
愛媛県,埼玉県,666.662610897882
山口県,長野県,666.7541638508907
山口県,山梨県,667.3962681256936
高知県,栃木県,667.6219028437818
徳島県,福島県,671.2994139286609
島根県,茨城県,672.9307726247974
広島県,埼玉県,673.527571120734
広島県,東京都,673.7479432334555
奈良県,秋田県,675.2583801860143
岡山県,福島県,679.076494792112
和歌山県,宮城県,680.739801062595
静岡県,青森県,682.229604688586
熊本県,石川県,684.1274832945835
佐賀県,石川県,686.0905325326611
三重県,岩手県,688.909630114258
長崎県,福井県,689.5123729909641
香川県,福島県,690.6521748544802
大阪府,秋田県,691.0183204285803
高知県,新潟県,691.801800744815
大分県,山梨県,692.2720748580891
長崎県,岐阜県,696.131353984687
鳥取県,秋田県,697.1860749920729
徳島県,山形県,697.5925078105877
